2025-05-28 19:30:29 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 11:19:58 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 11:42:32 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 11:42:32 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 13:33:29 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 13:33:29 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 13:33:29 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-05-29 13:33:29 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-05-29 13:37:35 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 13:37:35 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 13:37:35 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-05-29 13:37:35 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-05-29 13:38:08 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 13:38:08 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 13:38:08 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-05-29 13:38:08 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-05-29 15:06:25 | Account: Alice Wonderland | Type: Deposit | Amount: 50.00 | Balance: 200.00
2025-05-29 15:06:25 | Account: Bob The Builder | Type: Withdraw | Amount: 25.00 | Balance: 25.00
2025-05-29 15:06:25 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 15:06:25 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 15:06:25 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-05-29 15:06:25 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-05-29 15:25:55 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 15:25:55 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 15:25:55 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-05-29 15:25:55 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-05-29 15:26:56 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 15:26:56 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 15:26:56 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-05-29 15:26:56 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-05-29 15:29:56 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 15:29:56 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 15:29:56 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-05-29 15:29:56 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-05-29 15:30:31 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 15:30:31 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 15:30:31 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-05-29 15:30:31 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-05-29 15:31:01 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 15:31:01 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 15:31:01 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-05-29 15:31:01 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-05-29 15:32:34 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 15:32:34 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 15:32:34 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-05-29 15:32:34 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-05-29 15:34:38 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 15:34:38 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 15:34:38 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-05-29 15:34:38 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-05-29 15:35:36 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 15:35:36 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 15:35:36 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-05-29 15:35:36 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-05-29 15:36:15 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 15:36:15 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 15:36:15 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-05-29 15:36:15 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-05-29 15:37:19 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 15:37:19 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 15:37:19 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-05-29 15:37:19 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-05-29 15:40:58 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 15:40:58 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 15:40:58 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-05-29 15:40:58 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-05-29 15:41:36 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 15:41:36 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 15:41:36 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-05-29 15:41:36 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-05-29 15:59:05 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 15:59:05 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-29 16:00:42 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-29 16:00:42 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-30 15:15:25 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-30 15:15:25 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-30 15:16:33 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-30 15:16:33 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-30 15:17:48 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-30 15:17:48 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-30 15:21:53 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-30 15:21:53 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-05-30 15:23:09 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-05-30 15:23:09 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-06-02 10:15:42 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-06-02 10:15:42 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-06-02 10:15:42 | Account: Alice Smith | Type: Deposit | Amount: 75.50 | Balance: 275.50
2025-06-02 10:15:42 | Account: Alice Smith | Type: Withdraw | Amount: 20.00 | Balance: 255.50
2025-06-02 10:16:36 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-06-02 10:16:36 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-06-02 10:17:16 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-06-02 10:17:16 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-06-02 10:53:21 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-06-02 10:53:21 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-06-02 10:57:05 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-06-02 10:57:05 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-06-02 10:58:49 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-06-02 10:58:49 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-06-02 11:04:20 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-06-02 11:04:20 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-07-15 06:26:42 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-07-15 06:26:42 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-07-15 06:27:04 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-07-15 06:27:04 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-07-15 06:29:11 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-07-15 06:29:11 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-07-15 17:51:14 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-07-15 17:51:14 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-07-25 14:14:20 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-07-25 14:14:20 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-07-25 14:15:39 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-07-25 14:15:39 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-07-25 14:24:15 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-07-25 14:24:15 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-07-28 15:23:23 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-07-28 15:23:23 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-07-28 15:23:42 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-07-28 15:23:42 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-08-05 16:46:08 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-08-05 16:46:08 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-08-05 16:52:57 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-08-05 16:52:57 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-08-05 17:00:02 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-08-05 17:00:02 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-08-05 17:00:50 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-08-05 17:00:50 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-08-06 13:33:43 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-08-06 13:33:43 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
2025-08-06 13:36:48 | Account: Eva | Type: Deposit | Amount: 100.00 | Balance: 200.00
2025-08-06 13:36:48 | Account: Eva | Type: Withdraw | Amount: 20.00 | Balance: 180.00
